Champion;Ability;Type;Description;Range;Cooldown;Cost;Scalings
AATROX;DEATHBRINGER STANCE;Passive;Aatrox's next basic attack gains 50 bonus range and deals 5-12% of the target's maximum health as bonus physical damage (based on level), while healing Aatrox for 100% of the bonus physical damage dealt (reduced to 25% against minions). This damage is capped at 100 against monsters. Deathbringer Stance has a 24-12 second cooldown (depending on level), though its cooldown is reduced by 2 seconds when Aatrox hits a champion or large monster with a basic attack or an ability, and when Aatrox hits a champion with the edge of The Darkin Blade.;;;;
AATROX;INFERNAL CHAINS;W;Range: 825 Cooldown: 26/23/20/17/14 Aatrox smashes the ground in the target direction, creating a chain that stops on the first enemy hit, dealing 30/40/50/60/70 (+0.4 per attack damage) physical damage (doubled against minions) and slowing them by 25% for 1.5 seconds. If Infernal Chains hits a champion or large monster, they are chained to the impact area. If the chained enemy is still in the impact area after 1.5 seconds, they are dragged to the center and take the same damage again.;825;26/23/20/17/14;;(+0.4 per attack damage)
AATROX;THE DARKIN BLADE;Q;Range: 650 Cooldown: 14/12/10/8/6 Aatrox swings his greatsword in the target direction, striking enemies in a line. The Darkin Blade can then be reactivated twice within 4 seconds, with the second cast refreshing the timer. The second cast strikes enemies in a cone and the third in the target area. The first cast deals 10/30/50/70/90 (+0.6/0.65/0.7/0.75/0.8 per attack damage) physical damage, increasing by 25% on the second cast and 50% on the third. The Darkin Blade deals 55% damage to minions. Hitting enemies at the far end of the first two casts and the center of the third deals 50% bonus damage and knocks up enemies for 0.25 seconds. Monsters are knocked up for 0.5 seconds instead.;650;14/12/10/8/6;;(+0.6/0.65/0.7/0.75/0.8 per attack damage)
AATROX;UMBRAL DASH;E;Range: 300 Cooldown: 9/8/7/6/5 Passive: Aatrox heals for 20/22.5/25/27.5/30% of the non-periodic damage he deals to champions. Active: Aatrox dashes in the target direction. Umbral Dash can be cast during his other spellcasts without interrupting them.;300;9/8/7/6/5;;
AATROX;WORLD ENDER;R;Cooldown: 120/100/80 After 0.25 seconds, Aatrox reveals his true demonic form for 10 seconds. On activation, he fears nearby enemy minions for 3 seconds and gains 60/80/100% bonus movement speed, decaying over the duration. While World Ender persists, Aatrox gains 20/25/30% bonus attack damage and receives 50/60/70% increased self-healing. On enemy champion takedown, the duration of World Ender is extended by 5 seconds and the movement speed increase is refreshed.;;120/100/80;;
AHRI;CHARM;E;Range: 975 Cooldown: 12 Cost: 70 Ahri blows a kiss that deals 60/90/120/150/180 (+40% of ability power) magic damage to an enemy and charms it, interrupting in-progress dashes and causing them to walk harmlessly towards her for 1.4/1.55/1.7/1.85/2 seconds. When Charm damages a champion, Ahri's abilities deal 20% more damage to them for 3 seconds.;975;12;70;(+40% of ability power)
AHRI;FOX-FIRE;W;Range: 700 Cooldown: 9/8/7/6/5 Cost: 40 Ahri releases three fox-fires, which after a short delay lock on and attack nearby enemies (prioritizes champions), dealing 40/65/90/115/140 (+30% of ability power) magic damage. Additional fox-fires that hit the same target deal 30% damage, up to a maximum total damage of 64/104/144/184/224 (+48% of ability power). Fox-Fire prioritizes any enemy champion affected by Charm's damage amp and the target Ahri most recently basic-attacked within the past 3 seconds.;700;9/8/7/6/5;40;(+30% of ability power), (+48% of ability power)
AHRI;ORB OF DECEPTION;Q;Range: 880 Cooldown: 7 Cost: 65/70/75/80/85 Ahri throws out and pulls back her orb, dealing 40/65/90/115/140 (+35% of ability power) magic damage on the way out and 40/65/90/115/140 (+35% of ability power) true damage on the way back. If Ahri earns 9 spell hits (max 3 per cast), she gains Essence Theft, causing her next Q cast that lands to restore 3/5/9/18 (at levels 1/6/11/16) health for each enemy hit.;880;7;65/70/75/80/85;(+35% of ability power), (+35% of ability power)
AHRI;SPIRIT RUSH;R;Range: 450 Cooldown: 130/105/80 Cost: 100 Ahri dashes forward and fires essence bolts, damaging 3 nearby enemies (prioritizes champions) for 60/90/120 (+35% of ability power) magic damage per bolt. Spirit Rush can be cast up to three times within ten seconds before going on cooldown. Maximum total magic damage to a single target is 210/330/450 (+75% of ability power).;450;130/105/80;100;(+35% of ability power), (+75% of ability power)
AHRI;VASTAYAN GRACE;Passive;Cooldown: 9 If Ahri earns 2 spell hits against an enemy champion within a 1.5 second period, she gains 20% movement speed for 3 seconds.;;9;;
