,name,hp,hp+,hp5,hp5+,mp,mp+,mp5,mp5+,ad,ad+,as,as+,ar,ar+,mr,mr+,ms,rng,ID,Dificultad,AD,Defensa,AP,Pasiva,Win Rate,Ban Rate,Play Rate
0,Aatrox,580.0,90.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,5.0,0.651,2.5,38.0,3.25,32.1,1.25,345.0,175.0,266,4,8,4,3,Deathbringer Stance,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 6.409201647077534, <Position.jungle: 'JUNGLE'>: 0.018245390465509652, <Position.middle: 'MIDDLE'>: 0.3491071467631931, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}"
1,Ahri,526.0,92.0,6.5,0.6,418.0,25.0,8.0,0.8,53.04,3.0,0.668,2.0,20.88,3.5,30.0,0.5,330.0,550.0,103,5,3,4,8,Essence Theft,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.01662414984586634, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 4.514048564648771, <Position.bottom: 'BOTTOM'>: 0.006098952807229601, <Position.utility: 'UTILITY'>: 0.11572569946882497}"
2,Akali,575.0,95.0,8.0,0.5,200.0,0.0,50.0,0.0,62.4,3.3,0.625,3.2,23.0,3.5,37.0,1.25,345.0,125.0,84,7,5,3,8,Assassin's Mark,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 4.308408345734966, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 10.976776886152624, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0003088077370749165}"
3,Alistar,573.36,106.0,8.5,0.85,350.0,40.0,8.5,0.8,61.1116,3.62,0.625,2.125,44.0,3.5,32.1,1.25,330.0,125.0,12,7,6,9,5,Triumphant Roar,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.00319101328310747, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 6.731751328452285}"
4,Amumu,613.12,84.0,9.0,0.85,287.2,40.0,7.382,0.525,53.38,3.8,0.638,2.18,33.0,3.8,32.1,1.25,335.0,125.0,32,3,2,6,8,Cursed Touch,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0029336735022117066, <Position.jungle: 'JUNGLE'>: 1.9413455730995521, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0009006892331351731}"
5,Anivia,480.0,82.0,5.5,0.55,495.0,25.0,8.0,0.8,51.376,3.2,0.625,1.68,21.22,4.0,30.0,0.5,325.0,600.0,34,10,1,4,10,Rebirth,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.12560754705522229, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 3.399921717238651, <Position.bottom: 'BOTTOM'>: 0.038240691441110496, <Position.utility: 'UTILITY'>: 0.37476392291850075}"
6,Annie,524.0,88.0,5.5,0.55,418.0,25.0,8.0,0.8,50.41,2.625,0.579,1.36,19.22,4.0,30.0,0.5,335.0,625.0,1,6,2,3,10,Pyromania,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.052497315302735804, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 2.071842575991794, <Position.bottom: 'BOTTOM'>: 0.008209139010574863, <Position.utility: 'UTILITY'>: 0.25896102151540706}"
7,Ashe,539.0,85.0,3.5,0.55,280.0,32.0,6.972,0.4,61.0,2.96,0.658,3.33,26.0,3.4,30.0,0.5,325.0,600.0,22,4,7,3,2,Frost Shot,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0007205513865081385, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.00496665777128824, <Position.bottom: 'BOTTOM'>: 5.7386256460193525, <Position.utility: 'UTILITY'>: 0.5040514288405324}"
8,Aurelion Sol,575.0,92.0,7.0,0.6,350.0,50.0,6.0,0.8,57.0,3.2,0.625,1.36,19.0,3.6,30.0,0.5,325.0,550.0,136,7,2,3,8,Center of the Universe,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.01711309542956829, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.8301266652135547, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}"
9,Azir,552.0,92.0,7.0,0.75,438.0,21.0,8.0,0.8,52.0,2.8,0.625,3.0,19.04,3.0,30.0,0.5,335.0,525.0,268,9,6,3,8,Shurima's Legacy,"{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 0.0, <Position.bottom: 'BOTTOM'>: 0.0, <Position.utility: 'UTILITY'>: 0.0}","{<Position.top: 'TOP'>: 0.0112200144470553, <Position.jungle: 'JUNGLE'>: 0.0, <Position.middle: 'MIDDLE'>: 1.1781787188750752, <Position.bottom: 'BOTTOM'>: 0.003731426822988575, <Position.utility: 'UTILITY'>: 0.0}"
