,name,Incremento HP,Total HP,Incremento Magic Power,Total Magic Power,Incremento Attack Damage,Incremento Attack Speed,Incremento Attack Resistance,Total Attack Damage,Incremento Magic Resistance,Total Attack Speed,Total Attack Resistance,Total Magic Resistance,ms,rng,ID,Dificultad,AD,Defensa,AP,Pasiva,Posicion,Play Rate,TOP Play Rate,Jungle Play Rate,MID Play Rate,ADC Play Rate,Support Play Rate,portada,fondo,pasiva,Q,W,E,R
0,Aatrox,1530.0,2110.0,0.0,0.0,85.0,42.5,55.25,145.0,21.25,43.151,93.25,53.35,345.0,175.0,266,4,8,4,3,Deathbringer Stance,TOP,6.776554184306237,6.409201647077534,0.0182453904655096,0.3491071467631931,0.0,0.0,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/aatrox.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Aatrox_Passive.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AatroxQ.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AatroxW.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AatroxE.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AatroxR.png
1,Ahri,1564.0,2090.0,425.0,843.0,51.0,34.0,59.5,104.04,8.5,34.668,80.38,38.5,330.0,550.0,103,5,3,4,8,Essence Theft,MID,4.652497366770692,0.0166241498458663,0.0,4.514048564648771,0.0060989528072296,0.1157256994688249,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/ahri.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Ahri_SoulEater2.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AhriOrbofDeception.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AhriFoxFire.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AhriSeduce.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AhriTumble.png
2,Akali,1615.0,2190.0,0.0,200.0,56.1,54.400000000000006,59.5,118.5,21.25,55.025000000000006,82.5,58.25,345.0,125.0,84,7,5,3,8,Assassin's Mark,MID,15.285494039624664,4.308408345734966,0.0,10.976776886152624,0.0,0.0003088077370749,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/akali.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Akali_P.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AkaliQ.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AkaliW.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AkaliE.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AkaliR.png
3,Alistar,1802.0,2375.36,680.0,1030.0,61.54,36.125,59.5,122.6516,21.25,36.75,103.5,53.35,330.0,125.0,12,7,6,9,5,Triumphant Roar,Support,6.734942341735392,0.0031910132831074,0.0,0.0,0.0,6.731751328452285,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/alistar.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Alistar_E.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Pulverize.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Headbutt.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AlistarE.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/FerociousHowl.png
4,Amumu,1428.0,2041.12,680.0,967.2,64.6,37.06,64.6,117.98,21.25,37.698,97.6,53.35,335.0,125.0,32,3,2,6,8,Cursed Touch,Jungle,1.945179935834899,0.0029336735022117,1.941345573099552,0.0,0.0,0.0009006892331351,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/amumu.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Amumu_Passive.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/BandageToss.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AuraofDespair.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Tantrum.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/CurseoftheSadMummy.png
5,Anivia,1394.0,1874.0,425.0,920.0,54.400000000000006,28.56,68.0,105.776,8.5,29.185,89.22,38.5,325.0,600.0,34,10,1,4,10,Rebirth,MID,3.938533878653485,0.1256075470552222,0.0,3.399921717238651,0.0382406914411104,0.3747639229185007,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/anivia.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Anivia_P.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/FlashFrost.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Crystallize.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Frostbite.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/GlacialStorm.png
6,Annie,1496.0,2020.0,425.0,843.0,44.625,23.12,68.0,95.035,8.5,23.699,87.22,38.5,335.0,625.0,1,6,2,3,10,Pyromania,MID,2.391510051820512,0.0524973153027358,0.0,2.071842575991794,0.0082091390105748,0.258961021515407,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/annie.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Annie_Passive.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AnnieQ.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AnnieW.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AnnieE.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AnnieR.png
7,Ashe,1445.0,1984.0,544.0,824.0,50.32,56.61,57.8,111.32,8.5,57.268,83.8,38.5,325.0,600.0,22,4,7,3,2,Frost Shot,ADC,6.248364284017681,0.0007205513865081,0.0,0.0049666577712882,5.7386256460193525,0.5040514288405324,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/ashe.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Ashe_P.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AsheQ.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/Volley.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AsheSpiritOfTheHawk.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/EnchantedCrystalArrow.png
8,Aurelion Sol,1564.0,2139.0,850.0,1200.0,54.400000000000006,23.12,61.2,111.4,8.5,23.745,80.2,38.5,325.0,550.0,136,7,2,3,8,Center of the Universe,MID,0.847239760643123,0.0171130954295682,0.0,0.8301266652135547,0.0,0.0,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/aurelionsol.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/AurelionSol_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/AurelionSol_Passive.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AurelionSolQ.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AurelionSolW.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AurelionSolE.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AurelionSolR.png
9,Azir,1564.0,2116.0,357.0,795.0,47.6,51.0,51.0,99.6,8.5,51.625,70.03999999999999,38.5,335.0,525.0,268,9,6,3,8,Shurima's Legacy,MID,1.1931301601451192,0.0112200144470553,0.0,1.1781787188750752,0.0037314268229885,0.0,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/azir.png,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Azir_0.jpg,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/passive/Azir_Passive.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AzirQWrapper.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AzirW.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AzirEWrapper.png,https://ddragon.leagueoflegends.com/cdn/12.11.1/img/spell/AzirR.png
